date,event_id,title,score_band,state,flags
2026-02-08,KXTRILLIONAIRE-30,Who will be the world's first trillionaire?,Strong,Consensus,
2026-02-08,KXMOONMAN-31,Which country will be the next to send humans to the Moon?,Neutral,Overheated,
2026-02-08,KXPRIMEENGCONSUMPTION-30,What will be the largest source of global primary energy consumption in 2030?,Neutral,Stable,
2026-02-08,USCLIMATE,US meets its climate goals?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-08,KXELONMARS-99,Will Elon Musk visit Mars in his lifetime?,Strong,Stable,
2026-02-08,KXOAIANTH-40,Will OpenAI or Anthropic IPO first?,Neutral,Chaos,
2026-02-08,KXTAYLORSWIFTWEDDING-30JAN01,Who will be a Bridesmaid for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-08,KXPERSONPRESFUENTES-45,Will Nick Fuentes become President of the United States before 2045?,Neutral,Stable,
2026-02-08,KXROBOTMARS-35,Will a humanoid robot walk on Mars before a human does?,Neutral,Chaos,
2026-02-08,KXNEWPOPE-70,Who will the next Pope be?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-08,KXNEXTIRANLEADER-45JAN01,Who will be the next Supreme Leader of Iran?,Neutral,Stable,
2026-02-08,KXTIMEDECADE20S-30,Who will Time name as Person of the Decade?,Neutral,Undervalued,
2026-02-08,KXFUSION,When will nuclear fusion be achieved?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-08,EVSHARE-30JAN,EV market share in 2030?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-08,KXG7LEADEROUT-45JAN01,Which G7 leader will leave next?,Neutral,Stable,
2026-02-08,KXEARTHQUAKECALIFORNIA-35,Will there be an at least 8.0 magnitude earthquake in California before 2035?,Neutral,Chaos | Scatter,Chaos | Scatter
2026-02-08,KXBRUVSEAT-35,Will Andrew Tate's party win a seat in the next UK election?,Strong,Consensus,
2026-02-08,KXPERSONPRESMAM-45,Will Zohran Mamdani become President of the United States before 2045?,Strong,Stable,
2026-02-08,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,Strong,Undervalued,
2026-02-08,KXPERFORMBONDSONG-35,Who will perform the next James Bond theme?,Neutral,Overheated | Forming | High-Conflict,Overheated | Forming | High-Conflict
2026-02-08,KXTRAVISKELCEWEDDING-30JAN01,Who will be Groomsman for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-08,KXJOHNNYDEPP-35,Will Johnny Depp be cast in the next Pirates of the Caribbean?,Neutral,Chaos,
2026-02-08,KXERUPTSUPER-0,Will a supervolcano erupt before 2050?,Neutral,Stable,
2026-02-08,KXRAMPBREX-40,Will Ramp or Brex IPO first?,Neutral,Stable,
2026-02-08,KXTVSEASONRELEASETHELASTOFUS,"When will ""The Last of Us"" Season 3 be released?",Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-08,KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,Critical,Dormant,
2026-02-08,KXNEWPOPE-35,Who will the next Pope be?,Critical,Dormant,
2026-02-08,KXU3MAX-30,How high will unemployment get before 2030?,Critical,Dormant,
2026-02-08,KXNEXTSPEAKER-31,Who will be the next Speaker of the House?,Critical,Dormant,
2026-02-08,KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,Critical,Dormant,
2026-02-08,KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,Critical,Dormant,
