verify_date,ref_date,event_id,initial_state,final_state,outcome
2026-02-17,2026-02-10,KXTRILLIONAIRE-30,Consensus,Consensus,State Maintained
2026-02-17,2026-02-10,KXMOONMAN-31,Overheated,Overheated,State Maintained
2026-02-17,2026-02-10,KXPRIMEENGCONSUMPTION-30,Overheated,Stable,State Shifted: Stable
2026-02-17,2026-02-10,USCLIMATE,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-02-17,2026-02-10,KXELONMARS-99,Stable,Stable,State Maintained
2026-02-17,2026-02-10,KXOAIANTH-40,Chaos,Chaos,State Maintained
2026-02-17,2026-02-10,KXTAYLORSWIFTWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-17,2026-02-10,KXPERSONPRESFUENTES-45,Stable,Stable,State Maintained
2026-02-17,2026-02-10,KXROBOTMARS-35,Chaos,Chaos,State Maintained
2026-02-17,2026-02-10,KXNEWPOPE-70,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-02-17,2026-02-10,KXNEXTIRANLEADER-45JAN01,Overheated,Overheated,State Maintained
2026-02-17,2026-02-10,KXTIMEDECADE20S-30,Undervalued,Undervalued,State Maintained
2026-02-17,2026-02-10,KXFUSION,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-02-17,2026-02-10,EVSHARE-30JAN,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-02-17,2026-02-10,KXG7LEADEROUT-45JAN01,Overheated,Stable,State Shifted: Stable
2026-02-17,2026-02-10,KXEARTHQUAKECALIFORNIA-35,Stable,Stable,State Maintained
2026-02-17,2026-02-10,KXBRUVSEAT-35,Scatter,Consensus,State Shifted: Consensus
2026-02-17,2026-02-10,KXNEXTISRAELPM-45JAN01,Stable,Stable,State Maintained
2026-02-17,2026-02-10,KXTRAVISKELCEWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-17,2026-02-10,KXPERSONPRESMAM-45,Stable,Stable,State Maintained
2026-02-17,2026-02-10,KXPERFORMBONDSONG-35,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-17,2026-02-10,KXJOHNNYDEPP-35,Chaos,Chaos,State Maintained
2026-02-17,2026-02-10,KXERUPTSUPER-0,Stable,Stable,State Maintained
2026-02-17,2026-02-10,KXRAMPBREX-40,Scatter,Scatter,State Maintained
2026-02-17,2026-02-10,KXTVSEASONRELEASETHELASTOFUS,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-17,2026-02-10,KXCOLONIZEMARS-50,Stable,Stable,State Maintained
2026-02-17,2026-02-10,KXNEWPOPE-35,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXU3MAX-30,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXNEXTSPEAKER-31,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXWARMING-50,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXMARSVRAIL-50,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,INDIACLIMATE-30,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXACTORSONNYCROCKETT-35,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXFDATYPE1DIABETES-33,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXAFRICALEADEROUT-35,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXXISUCCESSOR-45JAN01,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXDEELRIP-40,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXUSTAKEOVER-30,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,EUCLIMATE,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXCANADACUP-30,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXINDIANAPOWELL-30,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXYTUBESUBSISHOWSPEED,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXPERFORMROLEBRITNEY,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXPERFORMROLE007-VILLAIN,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXPOPCHANGESTATE10-35,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXACTORTOMCRUZ-30,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXPERFORMROLE007-MONEYPENNY,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXPERFORMROLE007-FELIX,Dormant,Dormant,State Maintained
2026-02-17,2026-02-10,KXPERFORMROLE007-M,Dormant,Dormant,State Maintained
